id,name,cfu
1,"provident aut non",11
9,"quod in aut",13
11,"beatae eveniet fugiat",13
12,"iure qui voluptas",11
13,"quo et asperiores",15
16,"corporis enim doloremque",11
18,"velit aut voluptatum",12
21,"ut rem libero",12
22,"soluta voluptatem at",11
25,"vero est explicabo",12
26,"maxime laboriosam nostrum",11
27,"consectetur aut odio",12
28,"accusantium culpa sint",12
29,"tempora voluptatum aut",14
30,"aliquam aliquam et",15
31,"atque assumenda explicabo",13
33,"rerum quod quibusdam",14
37,"expedita praesentium alias",12
39,"iste ullam cum",12
43,"voluptatum incidunt ut",14
44,"minus beatae illo",14
49,"odio odit id",15
57,"veniam dolorum dolor",11
62,"cupiditate deleniti nihil",12
64,"eligendi sed exercitationem",11
66,"officia esse maxime",11
69,"voluptas culpa eos",14
71,"tempore molestiae et",14
72,"molestiae est neque",11
76,"qui eligendi non",15
77,"dolorem laudantium minima",11
80,"quia aut aut",11
87,"id id qui",15
88,"molestias minima voluptates",15
92,"officiis sit sed",14
93,"magni ea tempora",15
94,"iusto consequatur ut",13
95,"facilis vero voluptatem",12
96,"ipsam amet recusandae",12
98,"sunt omnis asperiores",12
101,"quis quasi eos",13
104,"ut nam cupiditate",13
105,"et totam eius",11
106,"et harum laboriosam",12
109,"laborum expedita ullam",13
112,"voluptas amet vitae",14
117,"optio corporis explicabo",13
120,"porro optio odit",15
121,"adipisci ea enim",14
128,"velit ut dolorem",13
130,"quis aut a",14
134,"magnam ullam doloribus",13
141,"eaque veritatis ea",12
146,"assumenda et sed",11
147,"sapiente quia accusantium",11
148,"a vero voluptatibus",11
149,"quod ut aliquid",13
150,"eaque exercitationem non",11
151,"sit quis inventore",12
152,"nesciunt esse natus",12
156,"ut voluptatibus neque",14
157,"qui ipsa non",13
161,"impedit sunt qui",11
162,"enim quas sint",13
169,"provident mollitia saepe",11
172,"ratione aut quas",11
174,"corporis odit sint",11
178,"quo similique autem",12
179,"provident ea molestiae",11
180,"et quibusdam libero",11
183,"ut eum quia",14
184,"similique similique et",12
197,"vel et aut",11
200,"similique qui sapiente",15
203,"architecto deleniti temporibus",13
206,"sunt ut dolorem",13
208,"voluptas excepturi aut",11
214,"ratione dolorem debitis",12
216,"exercitationem nostrum at",14
217,"et ea beatae",14
222,"quia praesentium perferendis",12
223,"et autem exercitationem",12
224,"quo recusandae dignissimos",12
229,"deserunt delectus eos",13
231,"illum non accusamus",13
232,"voluptatem ipsa odit",12
233,"aperiam repellat doloremque",12
235,"facere laboriosam quod",14
239,"rem delectus eius",11
241,"voluptatibus quo eligendi",15
245,"neque voluptas dolorum",14
248,"asperiores odit incidunt",14
252,"quo explicabo quae",13
253,"voluptatem rem ut",15
255,"nemo sit eum",11
259,"numquam deserunt quasi",15
264,"nam id aliquid",14
268,"sunt eum ipsam",12
270,"nulla cupiditate nemo",13
278,"ea et harum",13
279,"distinctio quo praesentium",14
281,"nihil vero voluptas",15
284,"maiores cumque repudiandae",13
287,"qui similique qui",12
288,"quod et non",11
292,"nemo quis omnis",14
295,"sit officia accusamus",11
299,"inventore reiciendis deserunt",13
300,"aut ullam pariatur",11
301,"fugit molestiae earum",11
302,"nisi illum vitae",11
310,"provident cumque voluptatem",13
312,"officia nobis necessitatibus",12
314,"possimus earum qui",15
319,"adipisci aliquam dolorum",11
323,"voluptatem quibusdam fugit",11
324,"placeat mollitia atque",14
325,"cumque doloribus ducimus",14
328,"et ducimus sed",13
329,"voluptatem sit dolorem",15
332,"sed quis itaque",15
336,"nesciunt quo mollitia",15
338,"est ab ratione",14
340,"omnis rerum tenetur",11
341,"officiis corrupti et",14
348,"ducimus laborum aliquid",13
349,"voluptatibus omnis et",11
350,"expedita consequatur nihil",12
351,"ut dolorum soluta",11
354,"debitis in quo",13
362,"ut ea officia",12
369,"veniam molestiae molestias",11
370,"ut facilis qui",12
371,"unde non corporis",12
374,"cum debitis assumenda",12
376,"ea facere laboriosam",14
378,"officia dolor a",15
381,"eligendi corrupti tempore",11
382,"corrupti enim praesentium",14
383,"quisquam quo voluptas",12
384,"a quis at",15
385,"aut consequatur exercitationem",11
397,"et nam aut",11
406,"natus soluta eum",13
408,"necessitatibus sed vel",15
409,"architecto id cum",13
410,"sunt fuga qui",15
411,"perferendis ipsa et",12
414,"fugit debitis sapiente",12
415,"iure impedit iusto",12
416,"quia aspernatur dolorum",13
418,"voluptas veniam similique",13
419,"culpa nemo aut",11
420,"animi aliquid consequatur",13
434,"dignissimos eos sit",13
435,"cum doloremque nostrum",12
436,"nesciunt eligendi sed",13
437,"et magni voluptas",15
440,"vel deleniti tempore",15
445,"ea impedit quidem",12
447,"aliquid ducimus optio",13
448,"saepe harum quidem",15
450,"et sed eum",12
452,"eligendi quia voluptatem",12
458,"sit atque nulla",13
460,"commodi nam mollitia",12
462,"provident culpa labore",11
464,"error ut officiis",13
473,"quas quo rem",13
474,"ut dolores maiores",14
475,"facere ad rerum",14
476,"quidem rerum illum",12
478,"vel molestiae sed",14
482,"dolor laborum optio",15
484,"quod veritatis incidunt",14
486,"sapiente nihil et",13
490,"illum ex doloremque",11
492,"laborum provident voluptatibus",14
498,"voluptates sed eaque",15
500,"quia porro consectetur",12
503,"sed quo delectus",12
505,"molestiae est qui",12
506,"rem adipisci dolorem",15
507,"et possimus assumenda",11
509,"amet dicta et",14
514,"et iure natus",11
516,"magnam saepe nihil",12
519,"distinctio numquam illum",14
520,"ducimus sapiente at",14
521,"et est porro",14
524,"et et saepe",12
525,"quia eos doloremque",14
526,"ipsa aliquid sapiente",15
527,"est earum iure",11
533,"esse harum quaerat",11
534,"nesciunt et ullam",14
535,"rerum voluptatibus iusto",11
536,"culpa quis expedita",12
545,"rerum vel voluptatem",12
547,"inventore praesentium voluptatem",12
548,"illum sit dolores",13
549,"qui dignissimos quis",15
551,"atque et consectetur",13
554,"quidem voluptas est",11
557,"assumenda dolorum perspiciatis",11
558,"voluptate quos esse",13
561,"dolore enim eius",14
563,"sed possimus expedita",14
566,"vitae vitae aperiam",11
571,"tempora nesciunt aut",13
573,"ipsa assumenda eligendi",15
574,"ab error incidunt",11
577,"ut veritatis magnam",15
579,"dolor ab possimus",15
583,"labore qui et",12
586,"reiciendis molestiae qui",14
590,"modi sed earum",12
595,"vero harum cupiditate",13
596,"culpa voluptas voluptatem",13
597,"ad molestiae necessitatibus",11
600,"nihil quia at",12
601,"facilis adipisci provident",15
602,"totam illo non",13
604,"facere adipisci sed",15
612,"non explicabo aut",14
614,"quo dolor aspernatur",15
619,"accusamus et quidem",14
621,"quia voluptatibus nisi",12
622,"aperiam ut suscipit",11
626,"aut nesciunt deleniti",11
628,"error quia minus",14
629,"dicta ducimus odit",13
635,"ex molestiae rerum",13
636,"quam voluptatem nihil",15
637,"labore sequi incidunt",12
638,"qui doloremque dolorem",12
640,"ut eius error",13
647,"rerum aperiam ducimus",14
649,"sapiente pariatur voluptates",13
652,"velit esse soluta",14
653,"tempore quod eum",11
658,"accusamus nesciunt quia",14
659,"eum beatae earum",11
665,"fuga at officiis",15
667,"perspiciatis voluptates veniam",11
668,"similique id non",13
669,"consequatur expedita voluptas",14
673,"est in officia",14
674,"reiciendis totam quis",12
676,"amet qui quibusdam",14
679,"necessitatibus sit neque",14
680,"asperiores eveniet maxime",15
682,"et in aspernatur",12
683,"hic inventore a",15
687,"dolores et est",12
692,"ea quo itaque",14
699,"est aspernatur et",11
711,"sit voluptas rem",12
712,"voluptas aliquid molestiae",12
718,"facere sit est",11
725,"doloribus nemo iure",12
726,"aut cumque rerum",14
735,"perspiciatis itaque rerum",12
738,"saepe laudantium quia",14
739,"et vero aspernatur",15
741,"ut ut laboriosam",15
742,"blanditiis sit doloribus",14
744,"natus unde quibusdam",15
747,"non voluptatibus quia",13
748,"nam aut reprehenderit",12
750,"totam expedita vel",14
754,"unde veritatis a",12
755,"quaerat id possimus",11
756,"quidem ipsa laborum",15
757,"illum est ea",11
762,"natus dolores mollitia",14
773,"omnis voluptas molestias",14
777,"tenetur est et",14
778,"voluptas exercitationem voluptates",14
781,"magni in perferendis",11
782,"enim odit debitis",15
784,"sed nostrum consequuntur",15
786,"non dolorem sequi",13
788,"rerum cupiditate tempore",13
791,"sunt qui mollitia",11
794,"animi nihil aliquam",12
800,"commodi praesentium repudiandae",13
810,"sint explicabo quae",12
812,"quidem provident praesentium",12
813,"rerum dignissimos et",15
814,"architecto eligendi consequatur",13
816,"ea enim adipisci",13
819,"dolorum quos eum",13
821,"aut reprehenderit deleniti",12
822,"iure qui et",13
824,"commodi sint fugit",11
826,"aspernatur fugiat reprehenderit",12
829,"odit odio veniam",12
835,"magnam quis dolore",14
837,"labore tempora odit",11
843,"qui nemo ad",13
846,"quaerat accusamus eos",11
847,"qui quis quam",14
848,"neque architecto est",11
849,"sapiente saepe porro",12
855,"exercitationem explicabo fuga",12
856,"voluptatem aliquam nam",13
858,"voluptatem consectetur voluptas",13
861,"dolorem nemo rem",14
862,"minima aliquam numquam",12
863,"tempora laboriosam iusto",13
868,"enim id deserunt",12
873,"molestiae incidunt facilis",11
875,"commodi suscipit perspiciatis",13
876,"nostrum fugiat optio",12
877,"magnam vel sed",14
883,"voluptatem fuga incidunt",13
889,"explicabo quaerat ducimus",11
891,"est in quasi",13
893,"dolorem blanditiis nemo",14
900,"temporibus tempore ipsam",13
901,"est illum inventore",12
905,"delectus omnis dolores",12
910,"est cum explicabo",15
911,"iusto quibusdam et",11
912,"est id hic",14
915,"in perferendis non",12
921,"iste in animi",13
927,"ullam voluptatem facere",14
930,"quasi occaecati nulla",15
933,"ipsa sint omnis",12
936,"quaerat et soluta",13
940,"qui laboriosam molestiae",14
941,"sint quam unde",12
942,"nobis delectus veritatis",14
945,"quidem minus minus",14
946,"harum illo consequatur",11
949,"minus maiores porro",11
953,"qui nemo in",11
957,"blanditiis numquam quos",11
960,"nemo fugiat rerum",12
962,"omnis culpa voluptatem",11
963,"est omnis possimus",13
964,"consequatur est numquam",13
967,"atque non numquam",13
974,"fuga pariatur excepturi",12
976,"voluptatem architecto alias",15
978,"nihil omnis et",12
979,"voluptatem perferendis repellendus",13
982,"eveniet rerum minima",12
984,"earum numquam deserunt",15
986,"labore dolorem ipsa",14
991,"est explicabo iste",12
993,"commodi laboriosam cumque",12
995,"amet quod repudiandae",15
996,"voluptas dolores quos",14
1005,"et doloribus qui",12
1007,"rerum deserunt eaque",11
1009,"cupiditate ullam earum",14
1013,"assumenda impedit nihil",12
1015,"nam ratione officiis",11
1017,"dolor repellat dignissimos",12
1018,"distinctio ullam aspernatur",12
1020,"quasi fugit est",12
1021,"nobis aut voluptas",12
1024,"quis aperiam ab",14
1030,"quia consectetur consequatur",13
1032,"porro aliquid est",11
1035,"natus quia recusandae",12
1037,"veniam unde laborum",13
1041,"at dolorem temporibus",11
1042,"doloribus iusto quia",13
1045,"est et in",15
1052,"ut sint qui",12
1054,"alias iure possimus",15
1056,"numquam aspernatur nesciunt",14
1057,"nihil ipsa et",13
1060,"labore rerum deleniti",11
1062,"rem ut ea",15
1063,"vel et dolores",13
1065,"illum ad quos",14
1068,"quisquam error aut",13
1071,"fugit quis rerum",11
