id,name,period,year
1,"provident aut non","I semestre",1
2,"et doloremque omnis","I semestre",1
3,"nam nostrum et","I semestre",1
20,"ut animi adipisci","I semestre",1
21,"ut rem libero","I semestre",1
22,"soluta voluptatem at","I semestre",1
23,"impedit et eaque","I semestre",1
46,"perspiciatis quae eveniet","I semestre",1
47,"enim qui ea","I semestre",1
48,"earum aperiam nihil","I semestre",1
49,"odio odit id","I semestre",1
66,"officia esse maxime","I semestre",1
67,"corporis incidunt ex","I semestre",1
68,"quam repellat enim","I semestre",1
85,"et harum nulla","I semestre",1
86,"debitis vel pariatur","I semestre",1
87,"id id qui","I semestre",1
88,"molestias minima voluptates","I semestre",1
89,"ipsam atque animi","I semestre",1
99,"corporis consequatur labore","I semestre",1
100,"minima iste veniam","I semestre",1
101,"quis quasi eos","I semestre",1
110,"sint nulla ut","I semestre",1
111,"ut sit est","I semestre",1
112,"voluptas amet vitae","I semestre",1
113,"non aperiam ab","I semestre",1
124,"quia vero illum","I semestre",1
125,"est ab dolores","I semestre",1
126,"quibusdam dolor alias","I semestre",1
127,"temporibus voluptatem magni","I semestre",1
139,"deleniti et ullam","I semestre",1
140,"nihil aut voluptatem","I semestre",1
141,"eaque veritatis ea","I semestre",1
142,"soluta placeat asperiores","I semestre",1
152,"nesciunt esse natus","I semestre",1
153,"accusamus ducimus saepe","I semestre",1
154,"quae non voluptate","I semestre",1
155,"explicabo ab voluptas","I semestre",1
156,"ut voluptatibus neque","I semestre",1
170,"ullam ullam dignissimos","I semestre",1
171,"omnis aut ab","I semestre",1
172,"ratione aut quas","I semestre",1
187,"at id rerum","I semestre",1
188,"aliquid aut excepturi","I semestre",1
189,"fugit odio sapiente","I semestre",1
190,"eligendi temporibus sit","I semestre",1
209,"fugit dolorem voluptas","I semestre",1
210,"fuga et aut","I semestre",1
211,"officiis fugiat voluptatem","I semestre",1
222,"quia praesentium perferendis","I semestre",1
223,"et autem exercitationem","I semestre",1
224,"quo recusandae dignissimos","I semestre",1
235,"facere laboriosam quod","I semestre",1
236,"et modi aliquid","I semestre",1
237,"ut perferendis sunt","I semestre",1
257,"est tempora aliquid","I semestre",1
258,"illo qui culpa","I semestre",1
259,"numquam deserunt quasi","I semestre",1
260,"occaecati officiis aliquid","I semestre",1
277,"ad qui qui","I semestre",1
278,"ea et harum","I semestre",1
